time,response_time,active_pods_count,cpu_load,current_power_of_attack
2022-03-01 19:47:28.825960,0.4,3 5 3 5,65 56 88 81,14
2022-03-01 19:47:30.529128,0.3,3 5 3 5,65 56 88 81,14
2022-03-01 19:47:32.091621,0.3,3 5 3 5,65 56 88 81,14
2022-03-01 19:47:33.966617,0.5,3 5 3 5,65 56 88 81,14
2022-03-01 19:47:35.638488,0.4,3 5 3 5,65 56 88 81,14
2022-03-01 19:47:37.232215,0.4,3 5 3 5,65 56 88 81,14
2022-03-01 19:47:38.841615,0.4,4 5 4 5,65 56 88 81,14
2022-03-01 19:47:40.513493,0.4,4 5 4 5,65 56 88 81,14
2022-03-01 19:47:42.200990,0.4,4 5 4 5,65 56 88 81,14
2022-03-01 19:47:43.960221,0.4,4 5 4 5,65 56 88 81,14
2022-03-01 19:47:45.585220,0.3,4 5 4 5,65 56 88 81,14
2022-03-01 19:47:47.272720,0.4,4 5 4 5,65 56 88 81,14
2022-03-01 19:47:48.928974,0.4,4 5 4 5,65 56 88 81,14
2022-03-01 19:47:50.835022,0.4,4 5 4 5,65 56 88 81,14
2022-03-01 19:47:52.475848,0.3,4 5 4 5,65 56 88 87,14
2022-03-01 19:47:54.100646,0.3,4 5 4 5,65 56 88 87,14
2022-03-01 19:47:55.757062,0.4,4 5 4 5,65 56 88 87,14
2022-03-01 19:47:57.428770,0.4,4 5 4 5,65 56 88 87,14
2022-03-01 19:47:59.100828,0.4,4 5 4 5,65 56 88 87,14
2022-03-01 19:48:00.819603,0.4,4 5 4 5,65 56 88 87,14
2022-03-01 19:48:02.569601,0.4,4 5 4 5,65 56 88 87,14
2022-03-01 19:48:04.350846,0.4,4 5 4 5,65 56 88 87,14
2022-03-01 19:48:06.006896,0.4,4 5 4 5,65 56 88 87,14
2022-03-01 19:48:07.616469,0.3,4 5 4 6,65 56 88 87,14
2022-03-01 19:48:09.272671,0.4,4 5 4 6,65 56 88 87,14
2022-03-01 19:48:10.882095,0.3,4 5 4 6,65 56 88 87,14
2022-03-01 19:48:12.507094,0.3,4 5 4 6,65 56 88 87,14
2022-03-01 19:48:14.288344,0.4,4 5 4 6,65 56 88 87,14
2022-03-01 19:48:15.913355,0.4,4 5 4 6,65 56 88 87,14
2022-03-01 19:48:17.678991,0.4,4 5 4 6,65 56 88 87,14
2022-03-01 19:48:19.413321,0.5,4 5 4 6,65 56 88 87,14
2022-03-01 19:48:21.038344,0.3,4 5 4 6,65 56 88 87,14
2022-03-01 19:48:22.772706,0.3,4 5 4 6,65 56 88 87,14
2022-03-01 19:48:24.522724,0.4,4 5 4 6,71 63 97 87,14
2022-03-01 19:48:26.163316,0.4,4 5 4 6,71 63 97 87,14
2022-03-01 19:48:27.928970,0.4,4 5 4 6,71 63 97 87,14
2022-03-01 19:48:29.663144,0.4,4 5 4 6,71 63 97 87,14
2022-03-01 19:48:31.491467,0.4,4 5 4 6,71 63 97 87,14
2022-03-01 19:48:33.350840,0.4,4 5 4 6,71 63 97 87,14
2022-03-01 19:48:34.960219,0.3,4 5 4 6,71 63 97 87,14
2022-03-01 19:48:36.725845,0.4,4 5 4 6,71 63 97 87,14
2022-03-01 19:48:38.663324,0.4,5 6 4 6,71 63 97 87,14
2022-03-01 19:48:40.507076,0.5,5 6 4 6,71 63 97 87,14
2022-03-01 19:48:42.241473,0.4,5 6 4 6,71 63 97 87,14
2022-03-01 19:48:43.991467,0.4,5 6 4 6,71 63 97 87,14
2022-03-01 19:48:45.585219,0.3,5 6 4 6,71 63 97 87,14
2022-03-01 19:48:47.272720,0.3,5 6 4 6,71 63 97 87,14
2022-03-01 19:48:48.897696,0.3,5 6 4 6,71 63 97 87,14
2022-03-01 19:48:50.757081,0.4,5 6 4 6,71 63 97 87,14
2022-03-01 19:48:52.491271,0.3,5 6 4 6,71 63 97 87,14
2022-03-01 19:48:54.131955,0.4,5 6 4 6,44 63 97 50,14
2022-03-01 19:48:55.772725,0.4,5 6 4 6,44 63 97 50,14
2022-03-01 19:48:57.460223,0.3,5 6 4 6,44 63 97 50,14
2022-03-01 19:48:59.225848,0.4,5 6 4 6,44 63 97 50,14
2022-03-01 19:49:00.819594,0.3,5 6 4 6,44 63 97 50,14
2022-03-01 19:49:02.491473,0.4,5 6 4 6,44 63 97 50,14
2022-03-01 19:49:04.163333,0.4,5 6 4 6,44 63 97 50,14
2022-03-01 19:49:06.007091,0.4,5 6 4 6,44 63 97 50,14
2022-03-01 19:49:07.835022,0.4,5 6 4 6,44 63 97 50,14
2022-03-01 19:49:09.569420,0.3,5 6 4 6,44 63 97 50,14
2022-03-01 19:49:11.366475,0.3,5 6 4 6,44 63 97 50,14
2022-03-01 19:49:12.944616,0.3,5 6 4 6,44 63 97 50,14
2022-03-01 19:49:14.553774,0.3,5 6 4 6,44 63 97 50,14
2022-03-01 19:49:16.194601,0.4,5 6 4 6,44 63 97 50,14
2022-03-01 19:49:17.850683,0.4,5 6 4 6,44 63 97 50,14
2022-03-01 19:49:19.632094,0.4,5 6 4 6,44 63 97 50,14
2022-03-01 19:49:21.257095,0.3,5 6 4 6,44 63 97 50,14
2022-03-01 19:49:22.928843,0.4,5 6 4 6,44 63 97 50,14
2022-03-01 19:49:24.725844,0.4,5 6 4 6,44 41 51 50,14
2022-03-01 19:49:26.319596,0.3,5 6 4 6,44 41 51 50,14
2022-03-01 19:49:28.053770,0.4,5 6 4 6,44 41 51 50,14
2022-03-01 19:49:29.741465,0.4,5 6 4 6,44 41 51 50,14
2022-03-01 19:49:31.491472,0.5,5 6 4 6,44 41 51 50,14
2022-03-01 19:49:33.335213,0.4,5 6 4 6,44 41 51 50,14
2022-03-01 19:49:34.975642,0.3,5 6 4 6,44 41 51 50,14
2022-03-01 19:49:36.725833,0.3,5 6 4 6,44 41 51 50,14
2022-03-01 19:49:38.366460,0.4,5 6 4 6,44 41 51 50,14
2022-03-01 19:49:40.038342,0.4,5 6 4 6,44 41 51 50,14
2022-03-01 19:49:41.632111,0.3,5 6 4 6,44 41 51 50,14
2022-03-01 19:49:43.303970,0.4,5 6 4 6,44 41 51 50,14
2022-03-01 19:49:45.038345,0.4,5 6 4 6,44 41 51 50,14
2022-03-01 19:49:46.757093,0.4,5 6 4 6,44 41 51 50,14
2022-03-01 19:49:48.553965,0.4,5 6 4 6,44 41 51 50,14
2022-03-01 19:49:50.413344,0.4,5 6 4 6,44 41 51 50,14
2022-03-01 19:49:52.178779,0.5,5 6 4 6,44 41 51 50,14
2022-03-01 19:49:53.819594,0.4,5 6 4 6,52 41 51 54,14
2022-03-01 19:49:55.491298,0.3,5 6 4 6,52 41 51 54,14
2022-03-01 19:49:57.366449,0.4,5 6 4 6,52 41 51 54,14
2022-03-01 19:49:58.991455,0.3,5 6 4 6,52 41 51 54,14
2022-03-01 19:50:00.616469,0.4,5 6 4 6,52 41 51 54,14
2022-03-01 19:50:02.382080,0.4,5 6 4 6,52 41 51 54,14
2022-03-01 19:50:03.975848,0.3,5 6 4 6,52 41 51 54,14
2022-03-01 19:50:05.788335,0.4,5 6 4 6,52 41 51 54,14
2022-03-01 19:50:07.538142,0.3,5 6 4 6,52 41 51 54,14
2022-03-01 19:50:09.366470,0.4,5 6 4 6,52 41 51 54,14
2022-03-01 19:50:11.022721,0.3,5 6 4 6,52 41 51 54,14
2022-03-01 19:50:12.803968,0.4,5 6 4 6,52 41 51 54,14
2022-03-01 19:50:14.507091,0.4,5 6 4 6,52 41 51 54,14
2022-03-01 19:50:16.147693,0.3,5 6 4 6,52 41 51 54,14
2022-03-01 19:50:17.960061,0.4,5 6 4 6,52 41 51 54,14
2022-03-01 19:50:19.600846,0.4,5 6 4 6,52 41 51 54,14
2022-03-01 19:50:21.272714,0.3,5 6 4 6,52 41 51 54,14
2022-03-01 19:50:23.038344,0.4,5 6 4 6,52 41 51 54,14
2022-03-01 19:50:24.600838,0.3,5 6 4 6,52 49 51 54,14
2022-03-01 19:50:26.413340,0.5,5 6 4 6,52 49 51 54,14
2022-03-01 19:50:28.116479,0.4,5 6 4 6,52 49 51 54,14
2022-03-01 19:50:29.772718,0.4,5 6 4 6,52 49 51 54,14
2022-03-01 19:50:31.350827,0.3,5 6 4 6,52 49 51 54,14
2022-03-01 19:50:33.038345,0.4,5 6 4 6,52 49 51 54,14
2022-03-01 19:50:34.647721,0.4,5 6 4 6,52 49 51 54,14
2022-03-01 19:50:36.319568,0.4,5 6 4 6,52 49 51 54,14
2022-03-01 19:50:38.053971,0.4,5 6 4 6,52 49 51 54,14
2022-03-01 19:50:39.835219,0.4,5 6 4 6,52 49 51 54,14
2022-03-01 19:50:41.741476,0.4,5 6 4 6,52 49 51 54,14
