time,response_time,active_pods_count,cpu_load,current_power_of_attack
2022-03-02 07:40:00.600730,0.4,2 5 3 5,55 65 44 217,14
2022-03-02 07:40:02.366355,0.4,2 5 3 5,55 65 44 217,14
2022-03-02 07:40:04.163229,0.4,2 5 3 5,55 65 44 217,14
2022-03-02 07:40:05.944284,0.4,2 5 3 5,55 65 44 217,14
2022-03-02 07:40:07.678858,0.4,2 5 3 5,55 65 44 217,14
2022-03-02 07:40:09.444467,0.4,2 5 3 5,55 65 44 217,14
2022-03-02 07:40:11.366357,0.4,2 5 3 5,55 65 44 217,14
2022-03-02 07:40:13.069483,0.4,2 5 3 5,55 65 44 217,14
2022-03-02 07:40:14.944467,0.4,2 5 3 5,55 65 44 217,14
2022-03-02 07:40:16.710110,0.4,2 5 3 5,55 65 44 217,14
2022-03-02 07:40:18.553861,0.4,2 5 3 5,55 65 44 217,14
2022-03-02 07:40:20.616359,0.4,2 5 3 5,95 65 44 61,14
2022-03-02 07:40:22.460093,0.4,2 5 3 5,95 65 68 61,14
2022-03-02 07:40:24.178858,0.4,2 5 3 5,95 65 68 61,14
2022-03-02 07:40:26.053862,0.5,2 5 3 5,95 65 68 61,14
2022-03-02 07:40:27.897611,0.4,2 5 3 5,95 65 68 61,14
2022-03-02 07:40:29.803836,0.4,2 5 3 5,95 65 68 61,14
2022-03-02 07:40:31.569485,0.4,2 5 3 5,95 65 68 61,14
2022-03-02 07:40:33.413238,0.4,2 5 3 5,95 65 68 61,14
2022-03-02 07:40:35.319493,0.4,4 5 3 5,95 65 68 61,14
2022-03-02 07:40:37.131977,0.4,4 5 5 5,95 65 68 61,14
2022-03-02 07:40:38.944486,0.4,4 5 5 5,95 65 68 61,14
2022-03-02 07:40:40.756785,0.4,4 5 5 5,95 65 68 61,14
2022-03-02 07:40:42.694487,0.4,4 5 5 5,95 65 68 61,14
2022-03-02 07:40:44.647601,0.4,4 5 5 5,95 65 68 61,14
2022-03-02 07:40:46.538107,0.4,4 5 5 5,95 65 68 61,14
2022-03-02 07:40:48.506782,0.4,4 5 5 5,95 65 68 61,14
2022-03-02 07:40:50.506959,0.5,4 5 5 5,95 65 68 63,14
2022-03-02 07:40:52.225709,0.4,4 5 5 5,95 76 68 63,14
2022-03-02 07:40:54.085109,0.4,4 5 5 5,95 76 68 63,14
2022-03-02 07:40:55.944468,0.4,4 5 5 5,95 76 68 63,14
2022-03-02 07:40:57.772609,0.5,4 5 5 5,95 76 68 63,14
2022-03-02 07:40:59.506785,0.4,4 5 5 5,95 76 68 63,14
2022-03-02 07:41:01.506786,0.5,4 5 5 5,95 76 68 63,14
2022-03-02 07:41:03.413235,0.4,4 5 5 5,95 76 68 63,14
