time,response_time,active_pods_count,cpu_load,current_power_of_attack
2022-03-04 15:10:02.242264,0.4,4 5 4 4 4,59 65 188 65 86,14
2022-03-04 15:10:05.272146,0.4,4 5 4 4 4,59 65 188 65 86,14
2022-03-04 15:10:09.324269,1.2,4 5 4 4 4,59 65 188 65 86,14
2022-03-04 15:10:12.309808,0.5,4 5 4 4 4,59 65 188 65 86,14
2022-03-04 15:10:15.100579,0.4,4 5 4 4 4,59 65 188 65 86,14
2022-03-04 15:10:17.913513,0.4,4 5 4 4 4,59 65 188 65 86,14
2022-03-04 15:10:20.626771,0.4,4 5 4 4 4,59 65 188 65 86,14
2022-03-04 15:10:23.559696,0.5,4 5 4 4 4,59 65 188 65 86,14
2022-03-04 15:10:26.462528,0.5,4 5 4 4 4,47 65 188 45 86,14
2022-03-04 15:10:30.008187,1.0,4 5 4 4 4,47 65 188 45 86,14
2022-03-04 15:10:32.946068,0.5,4 5 4 4 4,47 65 188 45 86,14
2022-03-04 15:10:35.685232,0.4,4 5 4 4 4,47 65 188 45 86,14
2022-03-04 15:10:38.260770,0.4,4 5 4 4 4,47 65 188 45 45,14
2022-03-04 15:10:40.934105,0.4,4 5 4 4 4,47 65 188 45 45,14
2022-03-04 15:10:43.395460,0.4,4 5 4 4 4,47 65 188 45 45,14
2022-03-04 15:10:45.953773,0.4,4 5 4 4 4,47 65 188 45 45,14
2022-03-04 15:10:48.395479,0.4,4 5 4 4 4,47 65 188 45 45,14
2022-03-04 15:10:50.785114,0.4,4 5 4 4 4,47 65 188 45 45,14
2022-03-04 15:10:53.757968,0.5,4 5 4 4 4,47 65 188 45 45,14
2022-03-04 15:10:56.201051,0.5,4 5 4 4 4,47 23 188 45 45,14
2022-03-04 15:10:58.611916,0.4,4 5 4 4 4,47 23 44 45 45,2
2022-03-04 15:11:00.869162,0.4,4 5 4 4 4,47 23 44 45 45,2
2022-03-04 15:11:03.199101,0.4,4 5 4 4 4,47 23 44 45 45,2
2022-03-04 15:11:05.528248,0.4,4 5 4 4 4,47 23 44 45 45,2
2022-03-04 15:11:07.897124,0.4,4 5 4 4 4,47 23 44 45 45,2
2022-03-04 15:11:10.222519,0.4,4 5 4 4 4,47 23 44 45 45,2
2022-03-04 15:11:12.610330,0.5,4 5 4 4 4,47 23 44 45 45,2
2022-03-04 15:11:14.890616,0.4,4 5 4 4 4,47 23 44 45 45,2
2022-03-04 15:11:17.197241,0.4,4 5 4 4 4,47 23 44 45 45,2
2022-03-04 15:11:19.650009,0.4,4 5 4 4 4,47 23 44 45 45,2
2022-03-04 15:11:22.086905,0.4,4 5 4 4 4,47 23 44 45 45,2
2022-03-04 15:11:24.666426,0.4,4 5 4 4 4,47 23 44 45 45,2
2022-03-04 15:11:27.126180,0.4,4 5 4 4 4,47 23 44 45 45,2
2022-03-04 15:11:29.679679,0.4,4 5 4 4 4,47 23 44 45 45,2
2022-03-04 15:11:32.118716,0.4,4 5 4 4 4,47 23 44 45 45,2
2022-03-04 15:11:34.599787,0.4,4 5 4 4 4,47 23 44 45 45,2
2022-03-04 15:11:37.700539,0.4,4 5 4 4 4,47 23 44 45 46,2
2022-03-04 15:11:40.304555,0.4,4 5 4 4 4,47 23 44 40 46,2
2022-03-04 15:11:42.899405,0.4,4 5 4 4 4,47 42 44 40 46,2
2022-03-04 15:11:45.904755,0.4,4 5 4 4 4,47 42 44 40 46,2
2022-03-04 15:11:48.639348,0.4,4 5 4 4 4,47 42 44 40 46,2
2022-03-04 15:11:51.290548,0.4,4 5 4 4 4,47 42 44 40 46,2
2022-03-04 15:11:54.149714,0.4,4 5 4 4 4,18 42 44 40 8,2
2022-03-04 15:11:56.580945,0.4,4 5 4 4 4,18 42 44 1 8,2
2022-03-04 15:11:58.998954,0.4,4 5 4 4 4,18 42 24 1 8,2
2022-03-04 15:12:01.432917,0.4,4 5 4 4 4,18 42 24 1 8,2
2022-03-04 15:12:03.774453,0.5,4 5 4 4 4,18 42 24 1 8,2
2022-03-04 15:12:06.010751,0.4,4 5 4 4 4,18 42 24 1 8,2
2022-03-04 15:12:08.369951,0.4,4 5 4 4 4,18 42 24 1 8,2
2022-03-04 15:12:10.635737,0.4,4 5 4 4 4,18 42 24 1 8,2
2022-03-04 15:12:13.901139,1.3,4 5 4 4 4,18 42 24 1 8,2
2022-03-04 15:12:16.157029,0.4,4 5 4 4 4,18 42 24 1 8,2
2022-03-04 15:12:18.798476,0.4,4 5 4 4 4,18 42 24 1 8,2
2022-03-04 15:12:20.988309,0.4,4 5 4 4 4,18 42 24 1 8,2
2022-03-04 15:12:23.204057,0.4,4 5 4 4 4,18 42 24 1 8,2
2022-03-04 15:12:25.369417,0.4,4 5 4 4 4,1 1 24 1 8,2
